,Mass (g),Motor mass (g),CG location (cm),Reference length (cm)
0,39330.0,12270.0,358.652,15.7
1,39330.0,12270.0,358.651,15.7
2,39330.0,12270.0,358.651,15.7
3,39330.0,12270.0,358.643,15.7
4,39320.0,12260.0,358.623,15.7
5,39310.0,12250.0,358.603,15.7
6,39300.0,12240.0,358.583,15.7
7,39290.0,12230.0,358.558,15.7
8,39280.0,12210.0,358.512,15.7
9,39260.0,12200.0,358.467,15.7
10,39240.0,12180.0,358.421,15.7
11,39220.0,12160.0,358.375,15.7
12,39200.0,12140.0,358.327,15.7
13,39180.0,12120.0,358.276,15.7
14,39160.0,12100.0,358.225,15.7
15,39140.0,12080.0,358.175,15.7
16,39130.0,12060.0,358.126,15.7
17,39110.0,12040.0,358.076,15.7
18,39090.0,12030.0,358.027,15.7
19,39070.0,12010.0,357.977,15.7
20,39050.0,11990.0,357.928,15.7
21,39030.0,11970.0,357.878,15.7
22,39010.0,11950.0,357.829,15.7
23,38990.0,11930.0,357.78,15.7
24,38970.0,11910.0,357.73,15.7
25,38950.0,11890.0,357.68,15.7
26,38930.0,11870.0,357.631,15.7
27,38920.0,11850.0,357.581,15.7
28,38900.0,11830.0,357.531,15.7
29,38880.0,11820.0,357.482,15.7
30,38860.0,11800.0,357.432,15.7
31,38840.0,11780.0,357.382,15.7
32,38820.0,11760.0,357.332,15.7
33,38800.0,11740.0,357.282,15.7
34,38780.0,11720.0,357.232,15.7
35,38760.0,11700.0,357.182,15.7
36,38740.0,11680.0,357.132,15.7
37,38720.0,11660.0,357.082,15.7
38,38710.0,11640.0,357.032,15.7
39,38690.0,11620.0,356.981,15.7
40,38670.0,11610.0,356.931,15.7
41,38650.0,11590.0,356.88,15.7
42,38630.0,11570.0,356.829,15.7
43,38600.0,11540.0,356.753,15.7
44,38560.0,11490.0,356.637,15.7
45,38490.0,11430.0,356.464,15.7
46,38390.0,11330.0,356.206,15.7
47,38300.0,11240.0,355.947,15.7
48,38200.0,11140.0,355.686,15.7
49,38100.0,11040.0,355.423,15.7
50,38010.0,10940.0,355.157,15.7
51,37910.0,10850.0,354.889,15.7
52,37810.0,10750.0,354.621,15.7
53,37710.0,10650.0,354.351,15.7
54,37620.0,10550.0,354.08,15.7
55,37520.0,10460.0,353.806,15.7
56,37420.0,10360.0,353.53,15.7
57,37320.0,10260.0,353.253,15.7
58,37220.0,10160.0,352.975,15.7
59,37120.0,10060.0,352.695,15.7
60,37030.0,9964.93,352.414,15.7
61,36930.0,9866.99,352.131,15.7
62,36830.0,9769.051,351.847,15.7
63,36730.0,9671.111,351.562,15.7
64,36630.0,9573.171,351.275,15.7
65,36540.0,9475.231,350.987,15.7
66,36440.0,9377.82,350.698,15.7
67,36340.0,9280.478,350.408,15.7
68,36240.0,9183.135,350.117,15.7
69,36150.0,9085.793,349.824,15.7
70,36050.0,8988.45,349.529,15.7
71,35950.0,8891.108,349.233,15.7
72,35860.0,8793.765,348.936,15.7
73,35760.0,8696.451,348.636,15.7
74,35660.0,8600.243,348.339,15.7
75,35570.0,8504.035,348.04,15.7
76,35470.0,8407.827,347.739,15.7
77,35370.0,8311.619,347.437,15.7
78,35280.0,8215.412,347.133,15.7
79,35180.0,8119.204,346.827,15.7
80,35090.0,8024.077,346.523,15.7
81,34990.0,7929.063,346.218,15.7
82,34900.0,7834.05,345.911,15.7
83,34800.0,7739.036,345.603,15.7
84,34710.0,7645.136,345.296,15.7
85,34610.0,7552.094,344.991,15.7
86,34520.0,7459.051,344.684,15.7
87,34430.0,7366.008,344.375,15.7
88,34340.0,7274.191,344.069,15.7
89,34250.0,7185.448,343.771,15.7
90,34160.0,7096.705,343.472,15.7
91,34070.0,7007.962,343.172,15.7
92,33980.0,6919.219,342.869,15.7
93,33890.0,6830.476,342.566,15.7
94,33800.0,6741.733,342.26,15.7
95,33710.0,6652.99,341.953,15.7
96,33630.0,6568.845,341.661,15.7
97,33550.0,6485.417,341.369,15.7
98,33460.0,6401.989,341.076,15.7
99,33380.0,6318.561,340.781,15.7
100,33300.0,6235.133,340.486,15.7
101,33210.0,6151.705,340.188,15.7
102,33130.0,6071.733,339.902,15.7
103,33060.0,5993.5,339.62,15.7
104,32980.0,5915.268,339.337,15.7
105,32900.0,5837.036,339.053,15.7
106,32820.0,5758.803,338.767,15.7
107,32740.0,5680.571,338.48,15.7
108,32670.0,5605.816,338.204,15.7
109,32590.0,5532.659,337.933,15.7
110,32520.0,5459.503,337.661,15.7
111,32450.0,5386.347,337.388,15.7
112,32370.0,5313.191,337.113,15.7
113,32300.0,5242.498,336.847,15.7
114,32230.0,5172.328,336.581,15.7
115,32170.0,5103.985,336.321,15.7
116,32100.0,5038.612,336.072,15.7
117,32040.0,4976.817,335.835,15.7
118,31980.0,4921.099,335.62,15.7
119,31940.0,4877.076,335.45,15.7
120,31900.0,4836.646,335.294,15.7
121,31870.0,4803.386,335.165,15.7
122,31850.0,4783.738,335.089,15.7
123,31830.0,4766.022,335.02,15.7
124,31820.0,4759.692,334.995,15.7
125,31820.0,4757.615,334.987,15.7
126,31820.0,4757.0,334.985,15.7
127,31820.0,4757.0,334.985,15.7
128,31820.0,4757.0,334.985,15.7
129,31820.0,4757.0,334.985,15.7
130,31820.0,4757.0,334.985,15.7
131,31820.0,4757.0,334.985,15.7
132,31820.0,4757.0,334.985,15.7
133,31820.0,4757.0,334.985,15.7
134,31820.0,4757.0,334.985,15.7
135,31820.0,4757.0,334.985,15.7
136,31820.0,4757.0,334.985,15.7
137,31820.0,4757.0,334.985,15.7
138,31820.0,4757.0,334.985,15.7
139,31820.0,4757.0,334.985,15.7
140,31820.0,4757.0,334.985,15.7
141,31820.0,4757.0,334.985,15.7
142,31820.0,4757.0,334.985,15.7
143,31820.0,4757.0,334.985,15.7
144,31820.0,4757.0,334.985,15.7
145,31820.0,4757.0,334.985,15.7
146,31820.0,4757.0,334.985,15.7
147,31820.0,4757.0,334.985,15.7
148,31820.0,4757.0,334.985,15.7
149,31820.0,4757.0,334.985,15.7
150,31820.0,4757.0,334.985,15.7
151,31820.0,4757.0,334.985,15.7
152,31820.0,4757.0,334.985,15.7
153,31820.0,4757.0,334.985,15.7
154,31820.0,4757.0,334.985,15.7
155,31820.0,4757.0,334.985,15.7
156,31820.0,4757.0,334.985,15.7
157,31820.0,4757.0,334.985,15.7
158,31820.0,4757.0,334.985,15.7
159,31820.0,4757.0,334.985,15.7
160,31820.0,4757.0,334.985,15.7
161,31820.0,4757.0,334.985,15.7
162,31820.0,4757.0,334.985,15.7
163,31820.0,4757.0,334.985,15.7
164,31820.0,4757.0,334.985,15.7
165,31820.0,4757.0,334.985,15.7
166,31820.0,4757.0,334.985,15.7
167,31820.0,4757.0,334.985,15.7
168,31820.0,4757.0,334.985,15.7
169,31820.0,4757.0,334.985,15.7
170,31820.0,4757.0,334.985,15.7
171,31820.0,4757.0,334.985,15.7
172,31820.0,4757.0,334.985,15.7
173,31820.0,4757.0,334.985,15.7
174,31820.0,4757.0,334.985,15.7
175,31820.0,4757.0,334.985,15.7
176,31820.0,4757.0,334.985,15.7
177,31820.0,4757.0,334.985,15.7
178,31820.0,4757.0,334.985,15.7
179,31820.0,4757.0,334.985,15.7
180,31820.0,4757.0,334.985,15.7
181,31820.0,4757.0,334.985,15.7
182,31820.0,4757.0,334.985,15.7
183,31820.0,4757.0,334.985,15.7
184,31820.0,4757.0,334.985,15.7
185,31820.0,4757.0,334.985,15.7
186,31820.0,4757.0,334.985,15.7
187,31820.0,4757.0,334.985,15.7
188,31820.0,4757.0,334.985,15.7
189,31820.0,4757.0,334.985,15.7
190,31820.0,4757.0,334.985,15.7
191,31820.0,4757.0,334.985,15.7
192,31820.0,4757.0,334.985,15.7
193,31820.0,4757.0,334.985,15.7
194,31820.0,4757.0,334.985,15.7
195,31820.0,4757.0,334.985,15.7
196,31820.0,4757.0,334.985,15.7
197,31820.0,4757.0,334.985,15.7
198,31820.0,4757.0,334.985,15.7
199,31820.0,4757.0,334.985,15.7
200,31820.0,4757.0,334.985,15.7
201,31820.0,4757.0,334.985,15.7
202,31820.0,4757.0,334.985,15.7
203,31820.0,4757.0,334.985,15.7
204,31820.0,4757.0,334.985,15.7
205,31820.0,4757.0,334.985,15.7
206,31820.0,4757.0,334.985,15.7
207,31820.0,4757.0,334.985,15.7
208,31820.0,4757.0,334.985,15.7
209,31820.0,4757.0,334.985,15.7
210,31820.0,4757.0,334.985,15.7
211,31820.0,4757.0,334.985,15.7
212,31820.0,4757.0,334.985,15.7
213,31820.0,4757.0,334.985,15.7
214,31820.0,4757.0,334.985,15.7
215,31820.0,4757.0,334.985,15.7
216,31820.0,4757.0,334.985,15.7
217,31820.0,4757.0,334.985,15.7
218,31820.0,4757.0,334.985,15.7
219,31820.0,4757.0,334.985,15.7
220,31820.0,4757.0,334.985,15.7
221,31820.0,4757.0,334.985,15.7
222,31820.0,4757.0,334.985,15.7
223,31820.0,4757.0,334.985,15.7
224,31820.0,4757.0,334.985,15.7
225,31820.0,4757.0,334.985,15.7
226,31820.0,4757.0,334.985,15.7
227,31820.0,4757.0,334.985,15.7
228,31820.0,4757.0,334.985,15.7
229,31820.0,4757.0,334.985,15.7
230,31820.0,4757.0,334.985,15.7
231,31820.0,4757.0,334.985,15.7
232,31820.0,4757.0,334.985,15.7
233,31820.0,4757.0,334.985,15.7
234,31820.0,4757.0,334.985,15.7
235,31820.0,4757.0,334.985,15.7
236,31820.0,4757.0,334.985,15.7
237,31820.0,4757.0,334.985,15.7
238,31820.0,4757.0,334.985,15.7
239,31820.0,4757.0,334.985,15.7
240,31820.0,4757.0,334.985,15.7
241,31820.0,4757.0,334.985,15.7
242,31820.0,4757.0,334.985,15.7
243,31820.0,4757.0,334.985,15.7
244,31820.0,4757.0,334.985,15.7
245,31820.0,4757.0,334.985,15.7
246,31820.0,4757.0,334.985,15.7
247,31820.0,4757.0,334.985,15.7
248,31820.0,4757.0,334.985,15.7
249,31820.0,4757.0,334.985,15.7
250,31820.0,4757.0,334.985,15.7
251,31820.0,4757.0,334.985,15.7
252,31820.0,4757.0,334.985,15.7
253,31820.0,4757.0,334.985,15.7
254,31820.0,4757.0,334.985,15.7
255,31820.0,4757.0,334.985,15.7
256,31820.0,4757.0,334.985,15.7
257,31820.0,4757.0,334.985,15.7
258,31820.0,4757.0,334.985,15.7
259,31820.0,4757.0,334.985,15.7
260,31820.0,4757.0,334.985,15.7
261,31820.0,4757.0,334.985,15.7
262,31820.0,4757.0,334.985,15.7
263,31820.0,4757.0,334.985,15.7
264,31820.0,4757.0,334.985,15.7
265,31820.0,4757.0,334.985,15.7
266,31820.0,4757.0,334.985,15.7
267,31820.0,4757.0,334.985,15.7
268,31820.0,4757.0,334.985,15.7
269,31820.0,4757.0,334.985,15.7
270,31820.0,4757.0,334.985,15.7
271,31820.0,4757.0,334.985,15.7
272,31820.0,4757.0,334.985,15.7
273,31820.0,4757.0,334.985,15.7
274,31820.0,4757.0,334.985,15.7
275,31820.0,4757.0,334.985,15.7
276,31820.0,4757.0,334.985,15.7
277,31820.0,4757.0,334.985,15.7
278,31820.0,4757.0,334.985,15.7
279,31820.0,4757.0,334.985,15.7
280,31820.0,4757.0,334.985,15.7
281,31820.0,4757.0,334.985,15.7
282,31820.0,4757.0,334.985,15.7
283,31820.0,4757.0,334.985,15.7
284,31820.0,4757.0,334.985,15.7
285,31820.0,4757.0,334.985,15.7
286,31820.0,4757.0,334.985,15.7
287,31820.0,4757.0,334.985,15.7
288,31820.0,4757.0,334.985,15.7
289,31820.0,4757.0,334.985,15.7
290,31820.0,4757.0,334.985,15.7
291,31820.0,4757.0,334.985,15.7
292,31820.0,4757.0,334.985,15.7
293,31820.0,4757.0,334.985,15.7
294,31820.0,4757.0,334.985,15.7
295,31820.0,4757.0,334.985,15.7
296,31820.0,4757.0,334.985,15.7
297,31820.0,4757.0,334.985,15.7
298,31820.0,4757.0,334.985,15.7
299,31820.0,4757.0,334.985,15.7
300,31820.0,4757.0,334.985,15.7
301,31820.0,4757.0,334.985,15.7
302,31820.0,4757.0,334.985,15.7
303,31820.0,4757.0,334.985,15.7
304,31820.0,4757.0,334.985,15.7
305,31820.0,4757.0,334.985,15.7
306,31820.0,4757.0,334.985,15.7
307,31820.0,4757.0,334.985,15.7
308,31820.0,4757.0,334.985,15.7
309,31820.0,4757.0,334.985,15.7
310,31820.0,4757.0,334.985,15.7
311,31820.0,4757.0,334.985,15.7
312,31820.0,4757.0,334.985,15.7
313,31820.0,4757.0,334.985,15.7
314,31820.0,4757.0,334.985,15.7
315,31820.0,4757.0,334.985,15.7
316,31820.0,4757.0,334.985,15.7
317,31820.0,4757.0,334.985,15.7
318,31820.0,4757.0,334.985,15.7
319,31820.0,4757.0,334.985,15.7
320,31820.0,4757.0,334.985,15.7
321,31820.0,4757.0,334.985,15.7
322,31820.0,4757.0,334.985,15.7
323,31820.0,4757.0,334.985,15.7
324,31820.0,4757.0,334.985,15.7
325,31820.0,4757.0,334.985,15.7
326,31820.0,4757.0,334.985,15.7
327,31820.0,4757.0,334.985,15.7
328,31820.0,4757.0,334.985,15.7
329,31820.0,4757.0,334.985,15.7
330,31820.0,4757.0,334.985,15.7
331,31820.0,4757.0,334.985,15.7
332,31820.0,4757.0,334.985,15.7
333,31820.0,4757.0,334.985,15.7
334,31820.0,4757.0,334.985,15.7
335,31820.0,4757.0,334.985,15.7
336,31820.0,4757.0,334.985,15.7
337,31820.0,4757.0,334.985,15.7
338,31820.0,4757.0,334.985,15.7
339,31820.0,4757.0,334.985,15.7
340,31820.0,4757.0,334.985,15.7
341,31820.0,4757.0,334.985,15.7
342,31820.0,4757.0,334.985,15.7
343,31820.0,4757.0,334.985,15.7
344,31820.0,4757.0,334.985,15.7
345,31820.0,4757.0,334.985,15.7
346,31820.0,4757.0,334.985,15.7
347,31820.0,4757.0,334.985,15.7
348,31820.0,4757.0,334.985,15.7
349,31820.0,4757.0,334.985,15.7
350,31820.0,4757.0,334.985,15.7
351,31820.0,4757.0,334.985,15.7
352,31820.0,4757.0,334.985,15.7
353,31820.0,4757.0,334.985,15.7
354,31820.0,4757.0,334.985,15.7
355,31820.0,4757.0,334.985,15.7
356,31820.0,4757.0,334.985,15.7
357,31820.0,4757.0,334.985,15.7
358,31820.0,4757.0,334.985,15.7
359,31820.0,4757.0,334.985,15.7
360,31820.0,4757.0,334.985,15.7
361,31820.0,4757.0,334.985,15.7
362,31820.0,4757.0,334.985,15.7
363,31820.0,4757.0,334.985,15.7
364,31820.0,4757.0,334.985,15.7
365,31820.0,4757.0,334.985,15.7
366,31820.0,4757.0,334.985,15.7
367,31820.0,4757.0,334.985,15.7
368,31820.0,4757.0,334.985,15.7
369,31820.0,4757.0,334.985,15.7
370,31820.0,4757.0,334.985,15.7
371,31820.0,4757.0,334.985,15.7
372,31820.0,4757.0,334.985,15.7
373,31820.0,4757.0,334.985,15.7
374,31820.0,4757.0,334.985,15.7
375,31820.0,4757.0,334.985,15.7
376,31820.0,4757.0,334.985,15.7
377,31820.0,4757.0,334.985,15.7
378,31820.0,4757.0,334.985,15.7
379,31820.0,4757.0,334.985,15.7
380,31820.0,4757.0,334.985,15.7
381,31820.0,4757.0,334.985,15.7
382,31820.0,4757.0,334.985,15.7
383,31820.0,4757.0,334.985,15.7
384,31820.0,4757.0,334.985,15.7
385,31820.0,4757.0,334.985,15.7
386,31820.0,4757.0,334.985,15.7
387,31820.0,4757.0,334.985,15.7
388,31820.0,4757.0,334.985,15.7
389,31820.0,4757.0,334.985,15.7
390,31820.0,4757.0,334.985,15.7
391,31820.0,4757.0,334.985,15.7
392,31820.0,4757.0,334.985,15.7
393,31820.0,4757.0,334.985,15.7
394,31820.0,4757.0,334.985,15.7
395,31820.0,4757.0,334.985,15.7
396,31820.0,4757.0,334.985,15.7
397,31820.0,4757.0,334.985,15.7
398,31820.0,4757.0,334.985,15.7
399,31820.0,4757.0,334.985,15.7
400,31820.0,4757.0,334.985,15.7
401,31820.0,4757.0,334.985,15.7
402,31820.0,4757.0,334.985,15.7
403,31820.0,4757.0,334.985,15.7
404,31820.0,4757.0,334.985,15.7
405,31820.0,4757.0,334.985,15.7
406,31820.0,4757.0,334.985,15.7
407,31820.0,4757.0,334.985,15.7
408,31820.0,4757.0,334.985,15.7
409,31820.0,4757.0,334.985,15.7
410,31820.0,4757.0,334.985,15.7
411,31820.0,4757.0,334.985,15.7
412,31820.0,4757.0,334.985,15.7
413,31820.0,4757.0,334.985,15.7
414,31820.0,4757.0,334.985,15.7
415,31820.0,4757.0,334.985,15.7
416,31820.0,4757.0,334.985,15.7
417,31820.0,4757.0,334.985,15.7
418,31820.0,4757.0,334.985,15.7
419,31820.0,4757.0,334.985,15.7
420,31820.0,4757.0,334.985,15.7
421,31820.0,4757.0,334.985,15.7
422,31820.0,4757.0,334.985,15.7
423,31820.0,4757.0,334.985,15.7
424,31820.0,4757.0,334.985,15.7
425,31820.0,4757.0,334.985,15.7
426,31820.0,4757.0,334.985,15.7
427,31820.0,4757.0,334.985,15.7
428,31820.0,4757.0,334.985,15.7
429,31820.0,4757.0,334.985,15.7
430,31820.0,4757.0,334.985,15.7
431,31820.0,4757.0,334.985,15.7
432,31820.0,4757.0,334.985,15.7
433,31820.0,4757.0,334.985,15.7
434,31820.0,4757.0,334.985,15.7
435,31820.0,4757.0,334.985,15.7
436,31820.0,4757.0,334.985,15.7
437,31820.0,4757.0,334.985,15.7
438,31820.0,4757.0,334.985,15.7
439,31820.0,4757.0,334.985,15.7
440,31820.0,4757.0,334.985,15.7
441,31820.0,4757.0,334.985,15.7
442,31820.0,4757.0,334.985,15.7
443,31820.0,4757.0,334.985,15.7
444,31820.0,4757.0,334.985,15.7
445,31820.0,4757.0,334.985,15.7
446,31820.0,4757.0,334.985,15.7
447,31820.0,4757.0,334.985,15.7
448,31820.0,4757.0,334.985,15.7
449,31820.0,4757.0,334.985,15.7
450,31820.0,4757.0,334.985,15.7
451,31820.0,4757.0,334.985,15.7
452,31820.0,4757.0,334.985,15.7
453,31820.0,4757.0,334.985,15.7
454,31820.0,4757.0,334.985,15.7
455,31820.0,4757.0,334.985,15.7
456,31820.0,4757.0,334.985,15.7
457,31820.0,4757.0,334.985,15.7
458,31820.0,4757.0,334.985,15.7
459,31820.0,4757.0,334.985,15.7
460,31820.0,4757.0,334.985,15.7
461,31820.0,4757.0,334.985,15.7
462,31820.0,4757.0,334.985,15.7
463,31820.0,4757.0,334.985,15.7
464,31820.0,4757.0,334.985,15.7
465,31820.0,4757.0,334.985,15.7
466,31820.0,4757.0,334.985,15.7
